Period,Status,SeverityName,Request ID
November 2025,closed,High,503457
November 2025,closed,High,503457
November 2025,closed,High,503479
November 2025,closed,Critical,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,High,503528
November 2025,closed,Medium,503900
November 2025,closed,Medium,503900
November 2025,closed,Medium,503900
November 2025,closed,Low,N/A
November 2025,closed,Low,N/A
November 2025,in_progress,Medium,513757
